TITLE,CRSE,ID,CRSE_ID,CRSE_ID_SEC,CRSE_ID_TERM,ACT,FAC1,FAC2,TERM,AY,S,L,Q,W1,W2,W3,CEL,PW,CONT
Cultural Politics,AAAC,119,AAAC_119,AAAC_119_A,AAAC_119_A_fall_2016-17,40,Myron Beasley,0,fall,2016-17,0,0,0,0,0,0,0,0,0
#BlackLivesMatter,AAAC,227,AAAC_227,AAAC_227_B,AAAC_227_B_fall_2016-17,25,Yannick Marshall,0,fall,2016-17,0,0,0,0,0,0,0,0,1
#BlackLivesMatter,AAAC,227,AAAC_227,AAAC_227_A,AAAC_227_A_fall_2016-17,27,Yannick Marshall,0,fall,2016-17,0,0,0,0,0,0,0,0,1
Introduction to African American Literature II: 1910-Present,AAEN,115,AAEN_115,AAEN_115_A,AAEN_115_A_fall_2016-17,14,Theri Pickens,0,fall,2016-17,0,0,0,0,0,0,0,0,0
Introduction to African American Studies,AAS,100,AAS_100,AAS_100_A,AAS_100_A_fall_2016-17,20,Baltasar Fra-Molinero,Theri Pickens,fall,2016-17,0,0,0,0,0,0,0,1,0
Senior Thesis,AAS,457,AAS_457,AAS_457_BFM,AAS_457_BFM_fall_2016-17,0,Baltasar Fra-Molinero,0,fall,2016-17,0,0,0,0,0,1,0,0,0
Contemporary Arab American Lit,ACEN,247,ACEN_247,ACEN_247_A,ACEN_247_A_fall_2016-17,22,Theri Pickens,0,fall,2016-17,0,0,0,0,0,0,0,0,0
French in Maine,ACFR,240I,ACFR_240I,ACFR_240I_A,ACFR_240I_A_fall_2016-17,22,Mary Rice-DeFosse,0,fall,2016-17,0,0,0,0,1,0,0,0,0
"Back East, Down South, Out West: Regions in American Culture",ACHI,248,ACHI_248,ACHI_248_A,ACHI_248_A_fall_2016-17,8,Margaret Creighton,0,fall,2016-17,0,0,0,0,0,0,0,0,0
China in the U.S. Imagination,ACHI,289,ACHI_289,ACHI_289_A,ACHI_289_A_fall_2016-17,9,Ian Shin,0,fall,2016-17,0,0,0,0,0,0,0,0,1
"Myth, Folklore, and Popular Culture",ANRE,134,ANRE_134,ANRE_134_A,ANRE_134_A_fall_2016-17,41,Danny Danforth,0,fall,2016-17,0,0,0,0,0,0,0,0,0
